pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,tess_sectors,K2_campaign
49,404387832,6081508322019767296,,0.4423,0.2548,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
50,328906141,6089133916200093696,,0.463,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
51,329694185,6089460471148907008,,0.2726,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
52,330560000,6089681782226103680,,1.3899,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 65 QLP 200s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
53,211513644,6091694403899673728,,0.6336,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s ,
54,242407571,6095898695842130048,,0.4722,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 11 TESS-SPOC 1800s TESS Sector 38 TESS-SPOC 600s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
55,127866051,6097896886432620160,,0.7988,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s ,
56,127246012,6099073363870236800,,0.4274,0.1069,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
57,129309458,6100482559819865856,,0.5533,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
58,127309526,6102553352528751104,,0.217,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
59,241884143,6103443682068685696,,0.2695,0.6399,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
60,243499565,6106993554140699520,,1.1947,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 38 SPOC 120s TESS Sector 64 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 38 TESS-SPOC 600s TESS Sector 64 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
61,243449997,6107289533226214400,,0.3827,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
62,243611773,6108669214161311616,,0.349,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
