nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name
5,410981941,5233403459606590720,epsc,6,64,FFI-200s,TIC-410981941-64-FFI-200s
40,130722957,,twa,4,64,FFI-200s,TIC-130722957-64-FFI-200s
41,144221008,6147117722735170176,twa,4,64,FFI-200s,TIC-144221008-64-FFI-200s
43,272349442,5355751581627180288,twa,8,64,SPOC-120,TIC-272349442-64-SPOC-120
44,144221039,6147119548096085376,twa,5,64,FFI-200s,TIC-144221039-64-FFI-200s
45,144155582,6146107993101452160,twa,5,64,SPOC-120,TIC-144155582-64-SPOC-120
46,134976537,6151330196594603648,twa,6,64,FFI-200s,TIC-134976537-64-FFI-200s
48,404012623,6128493718050020096,twa,7,64,FFI-200s,TIC-404012623-64-FFI-200s
49,404012628,6128493752409759744,twa,7,64,FFI-200s,TIC-404012628-64-FFI-200s
50,91474691,5348165127505382400,twa,7,64,FFI-200s,TIC-91474691-64-FFI-200s
51,72564426,6132146982868270976,twa,6,64,SPOC-120,TIC-72564426-64-SPOC-120
53,389253973,5378040370245563008,twa,7,64,FFI-200s,TIC-389253973-64-FFI-200s
60,243412695,6111552614685208064,twa,4,64,FFI-200s,TIC-243412695-64-FFI-200s
1,350559457,4767439021687332096,car,45,65,SPOC-120,TIC-350559457-65-SPOC-120
2,360558208,5838713408461840256,epsc,7,65,FFI-200s,TIC-360558208-65-FFI-200s
3,327549481,5855642348500099072,epsc,7,65,FFI-200s,TIC-327549481-65-FFI-200s
4,454335224,5227840175588831744,epsc,6,65,FFI-200s,TIC-454335224-65-FFI-200s
5,410981941,5233403459606590720,epsc,6,65,FFI-200s,TIC-410981941-65-FFI-200s
1,350559457,4767439021687332096,car,45,66,FFI-200s,TIC-350559457-66-FFI-200s
1,350559457,4767439021687332096,car,45,67,SPOC-120,TIC-350559457-67-SPOC-120
1,350559457,4767439021687332096,car,45,68,SPOC-120,TIC-350559457-68-SPOC-120
1,350559457,4767439021687332096,car,45,69,SPOC-120,TIC-350559457-69-SPOC-120
8,373494637,3386885525999518976,thor,3,71,FFI-200s,TIC-373494637-71-FFI-200s
13,311272948,3339253170454118272,thor,4,71,FFI-200s,TIC-311272948-71-FFI-200s
16,389248164,3341538436653898240,thor,7,71,FFI-200s,TIC-389248164-71-FFI-200s
