pop_id,lcname,idtype,ID,secorcamp,author,cadence,fluxamplitude
64,TIC-179367270-38-SPOC-120,TIC,179367270,38,SPOC,120,0.06450796127319336
64,TIC-179367270-64-FFI-200s,TIC,179367270,64,FFI,200s,16.82953481168308
65,TIC-248145126-10-FFI-30min,TIC,248145126,10,FFI,30min,0.045016813231103625
65,TIC-248145126-11-FFI-30min,TIC,248145126,11,FFI,30min,0.0431894215619828
65,TIC-248145126-37-FFI-10min,TIC,248145126,37,FFI,10min,0.03160759570103078
65,TIC-248145126-64-SPOC-120,TIC,248145126,64,SPOC,120,0.12269650697708134
66,TIC-135162879-10-FFI-30min,TIC,135162879,10,FFI,30min,0.02319228532184936
66,TIC-135162879-37-FFI-10min,TIC,135162879,37,FFI,10min,0.0233234671959639
66,TIC-135162879-64-SPOC-120,TIC,135162879,64,SPOC,120,0.09261281490325923
67,TIC-121840452-11-FFI-30min,TIC,121840452,11,FFI,30min,0.08653418078544817
67,TIC-121840452-38-FFI-10min,TIC,121840452,38,FFI,10min,0.059136101914556094
67,TIC-121840452-65-SPOC-120,TIC,121840452,65,SPOC,120,0.09563520550727844
68,TIC-461643692-11-FFI-30min,TIC,461643692,11,FFI,30min,0.020066031205953516
68,TIC-461643692-38-FFI-10min,TIC,461643692,38,FFI,10min,5.940002863494451
68,TIC-461643692-65-SPOC-120,TIC,461643692,65,SPOC,120,0.1475823342800141
69,TIC-272398365-11-FFI-30min,TIC,272398365,11,FFI,30min,0.023648063549710274
69,TIC-272398365-38-FFI-10min,TIC,272398365,38,FFI,10min,0.03365583574314124
69,TIC-272398365-65-FFI-200s,TIC,272398365,65,FFI,200s,0.030922489662230546
70,TIC-440686535-42-SPOC-120,TIC,440686535,42,SPOC,120,0.05298577547073369
70,TIC-440686535-43-SPOC-120,TIC,440686535,43,SPOC,120,0.0482391655445098
70,TIC-440686535-44-FFI-10min,TIC,440686535,44,FFI,10min,0.013987790998908234
70,TIC-440686535-70-FFI-200s,TIC,440686535,70,FFI,200s,0.015430241119516186
70,TIC-440686535-71-FFI-200s,TIC,440686535,71,FFI,200s,0.01753731217295873
70,EPIC-211013604-4-EVEREST-1800,EPIC,211013604,4,EVEREST,1800,0.07388201541634654
71,TIC-440690770-42-FFI-10min,TIC,440690770,42,FFI,10min,0.060347373387320435
71,TIC-440690770-43-FFI-10min,TIC,440690770,43,FFI,10min,0.009814963645236485
71,TIC-440690770-44-FFI-10min,TIC,440690770,44,FFI,10min,0.006723679910815239
71,TIC-440690770-70-SPOC-120,TIC,440690770,70,SPOC,120,0.06044489145278931
71,TIC-440690770-71-SPOC-120,TIC,440690770,71,SPOC,120,0.06949072480201712
71,EPIC-211016654-4-EVEREST-1800,EPIC,211016654,4,EVEREST,1800,0.10412383224939847
72,TIC-67768181-42-SPOC-120,TIC,67768181,42,SPOC,120,0.10726605653762811
72,TIC-67768181-43-SPOC-120,TIC,67768181,43,SPOC,120,0.09711086750030518
72,TIC-67768181-44-SPOC-120,TIC,67768181,44,SPOC,120,0.08869085311889635
72,TIC-67768181-70-SPOC-120,TIC,67768181,70,SPOC,120,0.08429402709007261
72,TIC-67768181-71-SPOC-120,TIC,67768181,71,SPOC,120,0.09456851482391349
72,EPIC-211047687-4-EVEREST-1800,EPIC,211047687,4,EVEREST,1800,0.02357323919691323
73,TIC-14334105-43-FFI-10min,TIC,14334105,43,FFI,10min,0.008491983553037485
73,TIC-14334105-44-FFI-10min,TIC,14334105,44,FFI,10min,0.008871586200650317
73,TIC-14334105-70-FFI-200s,TIC,14334105,70,FFI,200s,0.014054394251067803
73,TIC-14334105-71-FFI-200s,TIC,14334105,71,FFI,200s,0.013732411734519334
73,EPIC-211057712-4-EVEREST-1800,EPIC,211057712,4,EVEREST,1800,0.028785638078081877
74,TIC-353927317-42-SPOC-120,TIC,353927317,42,SPOC,120,0.14884205460548394
74,TIC-353927317-43-SPOC-120,TIC,353927317,43,SPOC,120,0.1265447020530701
74,TIC-353927317-44-SPOC-120,TIC,353927317,44,SPOC,120,0.1207168281078339
74,TIC-353927317-70-FFI-200s,TIC,353927317,70,FFI,200s,0.017060697026145877
74,TIC-353927317-71-FFI-200s,TIC,353927317,71,FFI,200s,0.021556269633989045
74,EPIC-211070495-4-EVEREST-1800,EPIC,211070495,4,EVEREST,1800,0.0647346558000752
75,TIC-165184400-3-FFI-30min,TIC,165184400,3,FFI,30min,0.011843338136502402
75,TIC-165184400-4-SPOC-120,TIC,165184400,4,SPOC,120,0.03291976451873779
75,TIC-165184400-30-SPOC-120,TIC,165184400,30,SPOC,120,0.04446091651916495
75,TIC-165184400-31-SPOC-120,TIC,165184400,31,SPOC,120,0.04202643632888803
75,TIC-165184400-97-FFI-200s,TIC,165184400,97,FFI,200s,0.010362476049600056
76,TIC-465268712-10-FFI-30min,TIC,465268712,10,FFI,30min,0.006480387233839036
76,TIC-465268712-11-FFI-30min,TIC,465268712,11,FFI,30min,0.0057871861095680766
