pop_id,lcname,complex_status
155,TIC-310412874-11-FFI-30min,Complex
155,TIC-310412874-37-FFI-10min,Complex
155,TIC-310412874-38-FFI-10min,Complex
155,TIC-310412874-64-FFI-200s,Complex
155,TIC-310412874-65-FFI-200s,Complex
156,TIC-311447879-11-FFI-30min,Complex
156,TIC-311447879-37-FFI-10min,Complex
156,TIC-311447879-38-FFI-10min,Complex
157,TIC-311333943-11-FFI-30min,Complex
157,TIC-311333943-37-FFI-10min,Complex
157,TIC-311333943-64-FFI-200s,Complex
157,TIC-311333943-65-FFI-200s,Complex
158,TIC-450386147-11-FFI-30min,Complex
158,TIC-450386147-37-FFI-10min,Complex
158,TIC-450386147-38-FFI-10min,Complex
158,TIC-450386147-64-FFI-200s,Complex
158,TIC-450386147-65-FFI-200s,Complex
159,TIC-272407484-10-SPOC-120,Complex
159,TIC-272407484-11-SPOC-120,Complex
159,TIC-272407484-37-FFI-10min,Complex
159,TIC-272407484-38-FFI-10min,Complex
159,TIC-272407484-64-FFI-200s,Complex
16,EPIC-204117263-2-EVEREST-1800,Complex
16,EPIC-204117263-2-K2SFF-1800,Complex
16,TIC-49072492-91-SPOC-120,Complex
160,TIC-412182239-11-FFI-30min,Complex
160,TIC-412182239-37-FFI-10min,Complex
160,TIC-412182239-38-FFI-10min,Complex
160,TIC-412182239-64-FFI-200s,Complex
160,TIC-412182239-65-FFI-200s,Complex
161,TIC-165912675-10-FFI-30min,Complex
161,TIC-165912675-11-FFI-30min,Complex
161,TIC-165912675-37-FFI-10min,Complex
161,TIC-165912675-64-FFI-200s,Complex
162,TIC-412376751-11-FFI-30min,Double Dip
162,TIC-412376751-37-FFI-10min,Complex
162,TIC-412376751-38-FFI-10min,Double Dip
162,TIC-412376751-64-FFI-200s,Double Dip
162,TIC-412376751-65-FFI-200s,Not Complex
163,TIC-412376096-11-FFI-30min,Complex
163,TIC-412376096-37-FFI-10min,Complex
163,TIC-412376096-38-FFI-10min,Double Dip
